作家名,年月日,生没
鈴木 大拙,11月11日,生
佐佐木 茂索,11月11日,生
牧野 信一,11月12日,生
久保 良英,11月12日,没
前田河 広一郎,11月13日,生
三浦 久,11月14日,生
佐藤 一斎,11月14日,生
亀井 勝一郎,11月14日,没
岡本 綺堂,11月15日,生
原 民喜,11月15日,生
平山 蘆江,11月15日,生
神西 清,11月15日,生
大下 宇陀児,11月15日,生
押川 春浪,11月16日,没
淡島 寒月,11月17日,生
徳田 秋声,11月18日,没
木村 荘八,11月18日,没
河井 寛次郎,11月18日,没
中戸川 吉二,11月19日,没
吉井 勇,11月19日,没
黒岩 涙香,11月20日,生
松永 延造,11月20日,没
小熊 秀雄,11月20日,没
ヴォルテール,11月21日,生
伊東 忠太,11月21日,生
関口 存男,11月21日,生
伊藤 永之介,11月21日,生
和田 万吉,11月21日,没
会津 八一,11月21日,没
桂 小南,11月21日,没
山田 済斎,11月21日,没
式場 隆三郎,11月21日,没
福田 英子,11月22日,生
竹越 三叉,11月22日,生
竹越 与三郎,11月22日,生
兼常 清佐,11月22日,生
久米 正雄,11月23日,生
樋口 一葉,11月23日,没
浅井 洌,11月24日,生
吉田 絃二郎,11月24日,生
辻 潤,11月24日,没
米川 正夫,11月25日,生
楠山 正雄,11月26日,没
小寺 菊子,11月26日,没
豊島 与志雄,11月27日,生
桂 三木助,11月27日,生
寺田 寅彦,11月28日,生
石川 三四郎,11月28日,没
陸 羯南,11月30日,生
金子 薫園,11月30日,生
末弘 厳太郎,11月30日,生
嘉村 礒多,11月30日,没
成島 柳北,11月30日,没
小林 多喜二,12月1日,生
荻原 守衛,12月1日,没
池田 蕉園,12月1日,没
桂 三木助,12月1日,没
佐佐木 茂索,12月1日,没
尾形 亀之助,12月2日,没
佐佐木 信綱,12月2日,没
水野 仙子,12月3日,生
種田 山頭火,12月3日,生
佐藤 惣之助,12月3日,生
永井 荷風,12月3日,生
中島 敦,12月4日,没
前田河 広一郎,12月4日,没
津田 左右吉,12月4日,没
土井 晩翠,12月5日,生
北条 民雄,12月5日,没
水上 滝太郎,12月6日,生
仁科 芳雄,12月6日,生
石井 研堂,12月6日,没
与謝野 晶子,12月7日,生
木暮 理太郎,12月7日,生
井上 哲次郎,12月7日,没
正岡 容,12月7日,没
徳冨 蘆花,12月8日,生
野口 米次郎,12月8日,生
中江 兆民,12月8日,生
中江 篤介,12月8日,生
山村 暮鳥,12月8日,没
夏目 漱石,12月9日,没
木村 芥舟,12月9日,没
今村 恒夫,12月9日,没
下村 海南,12月9日,没
伊東 静雄,12月10日,生
坂本 竜馬,12月10日,没
瀬沼 夏葉,12月11日,生
長岡 半太郎,12月11日,没
黒島 伝治,12月12日,生
尾形 亀之助,12月12日,生
西尾 正,12月12日,生
小津 安二郎,12月12日,生
百田 宗治,12月12日,没
小津 安二郎,12月12日,没
高垣 松雄,12月13日,生
小島 烏水,12月13日,没
狩野 直喜,12月13日,没
中江 兆民,12月13日,没
中江 篤介,12月13日,没
野間 清六,12月13日,没
森田 草平,12月14日,没
上司 小剣,12月15日,生
嘉村 礒多,12月15日,生
田中 正造,12月15日,生
小笠原 長生,12月15日,生
山中 峯太郎,12月15日,生
桑木 厳翼,12月15日,没
高野 六郎,12月15日,没
島木 赤彦,12月16日,生
三好 十郎,12月16日,没
和辻 哲郎,12月16日,没
菊池 幽芳,12月18日,生
山田 済斎,12月18日,生
正岡 容,12月20日,生
岸田 劉生,12月20日,没
荻原 雲来,12月20日,没
田部 隆次,12月20日,没
池谷 信三郎,12月21日,没
鳥谷部 春汀,12月21日,没
長谷 健,12月21日,没
北大路 魯山人,12月21日,没
大槻 文彦,12月22日,生
狩野 亨吉,12月22日,没
加藤 道夫,12月22日,没
外村 繁,12月23日,生
安倍 能成,12月23日,生
橋本 進吉,12月24日,生
小柳 司気太,12月24日,生
高山 樗牛,12月24日,没
添田 唖蝉坊,12月25日,生
水谷 まさる,12月25日,生
小山内 薫,12月25日,没
片岡 鉄兵,12月25日,没
矢内原 忠雄,12月25日,没
菊池 寛,12月26日,生
海野 十三,12月26日,生
佐野 昌一,12月26日,生
浅沼 稲次郎,12月27日,生
田沢 稲舟,12月28日,生
堀 辰雄,12月28日,生
邦枝 完二,12月28日,生
久保 栄,12月28日,生
小島 烏水,12月29日,生
北村 透谷,12月29日,生
橋本 五郎,12月29日,生
相馬 泰三,12月29日,生
南方 熊楠,12月29日,没
岡本 帰一,12月29日,没
石井 柏亭,12月29日,没
米川 正夫,12月29日,没
小杉 放庵,12月30日,生
横光 利一,12月30日,没
林 芙美子,12月31日,生
丘 浅次郎,12月31日,生
寺田 寅彦,12月31日,没
三上 義夫,12月31日,没
久坂 葉子,12月31日,没
