作家名,年月日,生没
紫式部,2月18日,没
岡本 かの子,2月18日,没
峠 三吉,2月19日,生
野呂 栄太郎,2月19日,没
宮島 資夫,2月19日,没
尾崎 士郎,2月19日,没
石川 啄木,2月20日,生
本庄 陸男,2月20日,生
片上 伸,2月20日,生
高田 保,2月20日,生
村山 槐多,2月20日,没
小林 多喜二,2月20日,没
内藤 鳴雪,2月20日,没
山川 方夫,2月20日,没
宮武 外骨,2月22日,生
松本 泰,2月22日,生
三浦 環,2月22日,生
浜田 青陵,2月22日,生
坪井 正五郎,2月22日,生
高浜 虚子,2月22日,生
新井 紀一,2月22日,生
倉田 百三,2月23日,生
堀口 九万一,2月23日,生
森下 雨村,2月23日,生
里村 欣三,2月23日,没
淡島 寒月,2月23日,没
野上 豊一郎,2月23日,没
知里 真志保,2月24日,生
青野 季吉,2月24日,生
直木 三十五,2月24日,没
富ノ沢 麟太郎,2月24日,没
河口 慧海,2月24日,没
岩村 透,2月25日,生
山川 方夫,2月25日,生
斎藤 茂吉,2月25日,没
与謝野 寛,2月26日,生
河東 碧梧桐,2月26日,生
島田 清次郎,2月26日,生
岡崎 雪声,2月26日,生
河口 慧海,2月26日,生
正木 不如丘,2月26日,生
中村 地平,2月26日,没
木村 芥舟,2月27日,生
浅井 洌,2月27日,没
上田 広,2月27日,没
高山 樗牛,2月28日,生
島村 抱月,2月28日,生
山本 禾太郎,2月28日,生
坪内 逍遥,2月28日,没
野中 至,2月28日,没
瀬沼 夏葉,2月28日,没
高木 貞治,2月28日,没
辰野 隆,2月28日,没
白鳥 庫吉,3月1日,生
芥川 竜之介,3月1日,生
和辻 哲郎,3月1日,生
辰野 隆,3月1日,生
岡本 綺堂,3月1日,没
別所 梅之助,3月1日,没
久米 正雄,3月1日,没
田中 貢太郎,3月2日,生
相馬 黒光,3月2日,没
金 史良,3月3日,生
山川 丙三郎,3月3日,生
正宗 白鳥,3月3日,生
有島 武郎,3月4日,生
小倉 金之助,3月4日,生
沢田 正二郎,3月4日,没
服部 之総,3月4日,没
松濤 明,3月5日,生
柳川 春葉,3月5日,生
岸田 国士,3月5日,生
山本 宣治,3月5日,没
片上 伸,3月5日,没
大町 桂月,3月6日,生
阪井 久良伎,3月6日,生
菊池 寛,3月6日,没
田村 松魚,3月6日,没
小宮 豊隆,3月7日,生
三島 霜川,3月7日,没
富沢 赤黄男,3月7日,没
山本 ゆうじ,3月8日,生
高村 光雲,3月8日,生
松井 須磨子,3月8日,生
市島 春城,3月9日,生
安西 冬衛,3月9日,生
峠 三吉,3月10日,没
西尾 正,3月10日,没
幣原 喜重郎,3月10日,没
加藤 文太郎,3月11日,生
夢野 久作,3月11日,没
神西 清,3月11日,没
葉山 嘉樹,3月12日,生
生田 春月,3月12日,生
勝 海舟,3月12日,生
松浦 武四郎,3月12日,生
関根 金次郎,3月12日,没
伊東 静雄,3月12日,没
山形 浩生,3月13日,生
里村 欣三,3月13日,生
高村 光太郎,3月13日,生
佐左木 俊郎,3月13日,没
原 民喜,3月13日,没
平田 禿木,3月13日,没
新井 紀一,3月13日,没
小栗 虫太郎,3月14日,生
徳富 蘇峰,3月14日,生
矢田 津世子,3月14日,没
千家 元麿,3月14日,没
伊波 普猷,3月15日,生
岡倉 由三郎,3月15日,生
三宅 やす子,3月15日,生
蒲原 有明,3月15日,生
長谷川 伸,3月15日,生
山路 愛山,3月15日,没
久保 栄,3月15日,没
山本 禾太郎,3月16日,没
蔵原 伸二郎,3月16日,没
横光 利一,3月17日,生
